pubkey,ip,capacity,partner number,channel number
033df7371ff1f9c06d8bbad5fcd76304f294aa8c9896b5f00f05467570a51c33fb,77.254.31.99:9735,0.13317422,18,20
02856e66429bf6b57a62df10a793b48093434aa7c40baa5f92b601afbdc9592ec6,118.163.74.161:10735,0.00000000,18,19
02e1d17b0dda809aa8b0e1c788ce3fef4ea3728a8d77c3684bb9fc2453457dbc66,188.226.138.177:9735,0.00000000,18,27
0285c2321395529b79bedc4f3d35d7b14f8d4d271ce564742a865e62534eedda76,35.231.1.167:9735,0.00131500,18,18
023bc59895a56f3f439e621f39623d6c8963d14258881a8098edb3947ee2467b71,35.231.119.208:9735,0.00531800,18,18
03149e1e8b3f7a328b5e8847f478608f054de1ca4a1679bcf55039653e150a7093,35.196.156.178:9735,0.00304148,18,18
02a21f461b9f52c0063d9429ecb8592940302dd78a335a5f7d48d66b6124b36b9e,34.233.74.151:9735,0.09913522,18,18
0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,47.205.102.31:9736,0.21527050,18,18
02669e1e43577c14a4ae796a38e0cfdadb548615058e367bd96bf825e62c0932ce,34.200.241.1:9735,0.04747352,18,18
031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a,24.4.228.213:9735,0.14588410,18,18
02ee4469f2b686d5d02422917ac199602ce4c366a7bfaac1099e3ade377677064d,209.239.115.243:9735,0.08277000,18,19
024ee6c080e1c45adda8f4d4113fb18b11a7b16c21e424497d659c9ee2a4aba265,79.206.95.51:9735,0.17694184,17,17
034157be16f1d8ea468c3ad4115d543d3cf757ac51df60c9fd8efad69f9d20f189,None,0.01092499,17,17
02695a3e8916595a312b3ae644ef59c27695b49aefc4b9ca3ae93abad09620b373,194.118.20.152:9735,0.00000000,17,18
03103532a020a6067ab751bbfa86535baab8c5d25b9031f16a5afb48cb618f944e,35.190.188.39:9735,0.00161200,17,17
030043d0a2cfb69d80867094eb030f8abde7a5dc36e1a0faece73e614cf779bde8,12.17.189.70:9735,0.05784149,17,19
021862c03891f8ff46094ba5a0d2523fc100d49e883c9070cbf50aaf09702f79e4,78.50.125.79:9735,0.49082222,17,17
0253b675d3e6e67d4720000f94b93dbf2a10d27e4500ca721baf1c0d84482a6623,188.62.86.143:9735,0.03842800,17,18
034201357a0c4bf1d78c905a06054945574a44be0bf0cd8630e273fdc0918ae6ae,73.151.64.152:9735,0.05314186,17,17
02c1ec2ab731486ae4bf23bed3f09c3f9fd17b644305fa818ee2b33aa7c0b09b77,212.89.173.216:9735,0.06805960,17,17
0296bdf95048ea0f4e7828e69f1c0eca44ae236e1fc7b2445706697a6044a52a71,159.89.253.155:9735,0.03298388,17,19
03e26a98ee4d1320d5775fab291580969180592db3679e6d32e360dbd147066ca3,46.4.18.160:9735,0.07748665,17,17
0261df8ef49d9a9c64a26d98d4c3f52baf12fb9e18652a2ba37fd9715364e03731,173.249.30.2:9735,0.00417606,17,17
02b19bc1a15ee13833a827250f4205e9ac13313750cbe94b9a188071dada8fbbd4,159.89.129.15:9735,0.01336150,17,17
02f5235e86262a9a8ab86d69d7b941bcd1762a215c307c26419cba70aeec0aa4a5,35.196.122.206:9735,0.00040000,16,16
02198630153bc64ca60847abefac0fb08cbe2d4a59a00c8a5e62460db039437e08,213.32.27.198:9735,0.13574130,16,16
03cf6bb91a8f71a79ceec804699019a7071713b91d33534cc404e194523796402b,220.101.115.18:9735,0.00000000,16,16
032647b6f59ba2fe29e30da79d58e5e79461daab57f66302baf5eaef88dce97773,174.138.5.208:9735,0.00000000,16,22
03b72d20a8a76753f5ba10fedb2d27cc43e7b885c48d4e796a5e7202498723ea84,77.252.195.119:9735,0.04220273,16,16
03b993773bca9ed238e71e4cdb6ab9b16719c792277c7939b8def735b06614c84a,35.196.156.163:9735,0.00577143,16,16
03c911ae0f63bf272043a08b3008f173305c7e80c98c55aaf7f1e3e3715f8b1b4f,91.121.72.9:9735,0.04373871,16,16
033cfe09030dff97391e08cd08c77834efcb44b706bee7ac7d0866b02ed67f356a,173.249.25.217:9735,0.04292360,16,16
02c8a3999011efbe323f1bb0af373e7b07b0aa11eff866d48702a0653630cd5311,213.136.78.13:9735,0.00672100,16,16
0387e3780a4325eb38421fb83000a6f6c0ffa4a69ea0c81db3f00e8e5015c9e8a1,148.251.82.174:9735,0.07091268,16,16
036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf,87.27.157.110:9735,0.07179415,15,15
02842522ca58b2b3fcc1463cab94e5867eeb183954e56c570b9e54856c0a90f7c7,104.63.241.76:9735,0.00000000,15,29
021adeed641dab29859a419b493d34962d182d639e60a5090480001b4119ba2042,104.196.216.62:9735,0.01775044,15,15
036345e4b4393d0d25820b9db3f9dd2c98deed16e1c352a3d94e755ac3704e0b6b,35.196.36.242:9735,0.00481699,15,15
02efddba17ca713f9ec065242c5e6582cc40b40627ed6934fc0d1cef19c9aaeb27,167.99.87.140:9735,0.13588742,15,15
02cb4c2d5c8e64c35dc1e046e0c2804de95b890de9fdfbbd549e45343fe35f9537,13.81.214.103:9735,0.26635480,15,15
03836eae75ffe6fc9e74c76c979b4b79b2d14db49db52529518ac28c9c14effc13,35.227.109.181:9735,0.01027796,15,15
029e2a4faea100086a10c23d253ec4d5ae26d9015a8a7d756a17ecff4b923db923,108.35.5.249:9735,0.03501329,15,15
0312c02755c6a3475f872be27e71fdb7703a61a25777401a26125e1c772c7e0f6a,192.95.29.22:9735,0.02056090,15,15
030dff591fa1b0b4f9e31f4ef595624d6bf0e55a51bbb6949fe337de19c4033c1a,85.167.44.90:9735,0.02290068,15,16
029eda74de66b675354054af719ba9e8f3f8954f88e2a8bcd0be8d7d191e9a11c1,173.71.149.66:9735,0.08241601,15,16
0347469dea682bd59255a5e60eaed8079186f85b5b5ea6dfd24565212e474b30c6,35.185.103.57:9735,0.00029956,15,15
024f5f1ddd1cf78afb23dcd2895d665f1f287ddc2ad1445a01a60e8cc5356b61b3,37.221.209.222:9735,0.06850000,15,16
036fb07937b7282bedcbb017d05b75a435eb4b0fb7b2615f0d47e4ab0183182104,84.22.114.15:9735,0.38328323,15,15
02ef61a252f9504a42fc264a28476f44cea0711a44b2da0bd729ad52aaee9d86b7,85.214.90.1:9735,0.02537001,15,15
